age,M,A,AIME,Wage,Aopt,Copt,Hopt,Bopt,nextAIMEopt,Iopt,pbopt,ssopt,value
95,1,28571.43,5500,0,18659.84,15626.51,0,1,5500,1797.32,792.86,3917.6,-0.5653610844
95,1,28571.43,7250,0,19331.07,15626.51,0,1,7250,1908.55,912.66,4477.6,-0.564624862
95,1,28571.43,9e3,0,20069.35,15626.51,0,1,9e3,2086.83,1104.67,5037.6,-0.563817343
95,1,28571.43,15960,0,26368.35,15626.51,0,1,15960,6158.63,5858.06,7264.8,-0.5570213723
95,1,28571.43,22920,0,31453.7,16095.3,0,1,22920,9575.38,10419.81,9402.2,-0.551162306
95,1,28571.43,29880,0,34166.59,16095.3,0,1,29880,11244.26,12647.96,10446.2,-0.5483418164
95,1,28571.43,36840,0,36879.48,16095.3,0,1,36840,12913.15,14876.12,11490.2,-0.545550362
95,1,28571.43,43800,0,39592.37,16095.3,0,1,43800,14582.04,17104.27,12534.2,-0.5427874996
95,1,34285.71,2e3,0,22048.13,15626.51,0,1,2e3,1588.92,339.85,1800,-0.5616644447
95,1,34285.71,3750,0,23915.12,15626.51,0,1,3750,1898.31,673.06,3357.6,-0.5596483637
95,1,34285.71,5500,0,24586.35,15626.51,0,1,5500,2009.55,792.86,3917.6,-0.5589270999
95,1,34285.71,7250,0,25257.59,15626.51,0,1,7250,2120.78,912.66,4477.6,-0.558207714
95,1,34285.71,9e3,0,25995.86,15626.51,0,1,9e3,2299.06,1104.67,5037.6,-0.5574186372
95,1,34285.71,15960,0,31785.04,16095.3,0,1,15960,6329.83,5858.06,7264.8,-0.5508162511
95,1,34285.71,22920,0,37339.19,16095.3,0,1,22920,9746.58,10419.81,9402.2,-0.545080184
95,1,34285.71,29880,0,40052.08,16095.3,0,1,29880,11415.46,12647.96,10446.2,-0.5423221233
95,1,34285.71,36840,0,42764.96,16095.3,0,1,36840,13084.35,14876.12,11490.2,-0.5395921473
95,1,34285.71,43800,0,45477.85,16095.3,0,1,43800,14753.24,17104.27,12534.2,-0.5368898318
95,1,4e4,2e3,0,27974.64,15626.51,0,1,2e3,1801.15,339.85,1800,-0.5553147814
95,1,4e4,3750,0,29841.63,15626.51,0,1,3750,2110.54,673.06,3357.6,-0.5533444603
95,1,4e4,5500,0,30044.07,16095.3,0,1,5500,2221.77,792.86,3917.6,-0.5526394581
95,1,4e4,7250,0,30715.31,16095.3,0,1,7250,2333.01,912.66,4477.6,-0.5519350742
95,1,4e4,9e3,0,31453.58,16095.3,0,1,9e3,2511.28,1104.67,5037.6,-0.5511624311
95,1,4e4,15960,0,37670.53,16095.3,0,1,15960,6501.03,5858.06,7264.8,-0.5447418056
95,1,4e4,22920,0,43224.67,16095.3,0,1,22920,9917.78,10419.81,9402.2,-0.5391322942
95,1,4e4,29880,0,45937.56,16095.3,0,1,29880,11586.66,12647.96,10446.2,-0.5364346245
95,1,4e4,36840,0,48167.59,16578.16,0,1,36840,13255.55,14876.12,11490.2,-0.5337601298
95,1,4e4,43800,0,50880.48,16578.16,0,1,43800,14924.44,17104.27,12534.2,-0.5311116691
95,1,45714.29,2e3,0,33432.36,16095.3,0,1,2e3,2013.38,339.85,1800,-0.54910228
95,1,45714.29,3750,0,35299.35,16095.3,0,1,3750,2322.77,673.06,3357.6,-0.547172743
95,1,45714.29,5500,0,35970.59,16095.3,0,1,5500,2434,792.86,3917.6,-0.5464823681
95,1,45714.29,7250,0,36641.82,16095.3,0,1,7250,2545.24,912.66,4477.6,-0.5457937526
95,1,45714.29,9e3,0,37380.1,16095.3,0,1,9e3,2723.51,1104.67,5037.6,-0.5450383833
95,1,45714.29,15960,0,43556.01,16095.3,0,1,15960,6672.23,5858.06,7264.8,-0.5388013411
95,1,45714.29,22920,0,48627.3,16578.16,0,1,22920,10088.98,10419.81,9402.2,-0.5333094599
95,1,45714.29,29880,0,51340.19,16578.16,0,1,29880,11757.86,12647.96,10446.2,-0.5306655076
95,1,45714.29,36840,0,54053.08,16578.16,0,1,36840,13426.75,14876.12,11490.2,-0.5280479297
95,1,45714.29,43800,0,56765.96,16578.16,0,1,43800,15095.64,17104.27,12534.2,-0.5254563357
95,1,51428.57,2e3,0,39358.88,16095.3,0,1,2e3,2225.61,339.85,1800,-0.5430241752
95,1,51428.57,3750,0,41225.87,16095.3,0,1,3750,2535,673.06,3357.6,-0.5411375162
95,1,51428.57,5500,0,41897.1,16095.3,0,1,5500,2646.23,792.86,3917.6,-0.540462447
95,1,51428.57,7250,0,42568.34,16095.3,0,1,7250,2757.47,912.66,4477.6,-0.5397890793
95,1,51428.57,9e3,0,43306.61,16095.3,0,1,9e3,2935.74,1104.67,5037.6,-0.5390504145
95,1,51428.57,15960,0,48958.64,16578.16,0,1,15960,6843.43,5858.06,7264.8,-0.532985111
95,1,51428.57,22920,0,54512.79,16578.16,0,1,22920,10260.18,10419.81,9402.2,-0.5276069559
95,1,51428.57,29880,0,57225.67,16578.16,0,1,29880,11929.06,12647.96,10446.2,-0.5250197269
95,1,51428.57,36840,0,59938.56,16578.16,0,1,36840,13597.95,14876.12,11490.2,-0.5224580352
