C, utils, Evtpo, value
   1368.0022710239,               NaN,     -1.5724910821,               NaN
   1379.2998104538,               NaN,     -1.5726254470,******************
   1390.5973498838,               NaN,     -1.5727598120,               NaN
   1401.8948893137,               NaN,     -1.5728941770,******************
   1413.1924287437,               NaN,     -1.5730285421,               NaN
   1424.4899681736,               NaN,     -1.5731629071,******************
   1435.7875076036,               NaN,     -1.5732972722,               NaN
   1447.0850470335,               NaN,     -1.5734316373,******************
   1458.3825864635,               NaN,     -1.5735660024,               NaN
   1469.6801258934,               NaN,     -1.5737003675,******************
   1480.9776653234,               NaN,     -1.5738347326,               NaN
   1492.2752047533,               NaN,     -1.5739690978,******************
   1503.5727441833,               NaN,     -1.5741034630,               NaN
   1514.8702836132,               NaN,     -1.5742378282,******************
   1526.1678230432,               NaN,     -1.5743721934,               NaN
   1537.4653624731,               NaN,     -1.5745065586,******************
   1548.7629019031,               NaN,     -1.5746409238,               NaN
   1560.0604413330,               NaN,     -1.5747752891,******************
   1571.3579807630,               NaN,     -1.5749096544,               NaN
   1582.6555201929,               NaN,     -1.5750440197,******************
   1593.9530596229,               NaN,     -1.5751783850,               NaN
   1605.2505990528,               NaN,     -1.5753127504,******************
   1616.5481384828,               NaN,     -1.5754471157,               NaN
   1627.8456779127,               NaN,     -1.5755814811,******************
   1639.1432173427,               NaN,     -1.5757158465,               NaN
   1650.4407567726,               NaN,     -1.5758502119,******************
   1661.7382962026,               NaN,     -1.5759845774,               NaN
   1673.0358356325,               NaN,     -1.5761189428,******************
   1684.3333750625,               NaN,     -1.5762533083,               NaN
   1695.6309144924,               NaN,     -1.5763876738,******************
   1706.9284539224,               NaN,     -1.5765220393,               NaN
   1718.2259933523,               NaN,     -1.5766564048,******************
   1729.5235327823,               NaN,     -1.5767907704,               NaN
   1740.8210722122,               NaN,     -1.5769251359,******************
   1752.1186116422,               NaN,     -1.5770595015,               NaN
   1763.4161510721,               NaN,     -1.5771938671,******************
   1774.7136905021,               NaN,     -1.5773282327,               NaN
   1786.0112299320,               NaN,     -1.5774625984,******************
   1797.3087693620,               NaN,     -1.5775969640,               NaN
   1808.6063087919,               NaN,     -1.5777313297,******************
   1819.9038482219,               NaN,     -1.5778656954,               NaN
   1831.2013876518,               NaN,     -1.5780000611,******************
   1842.4989270818,               NaN,     -1.5781344268,               NaN
   1853.7964665117,               NaN,     -1.5782687926,******************
   1865.0940059417,               NaN,     -1.5784031583,               NaN
   1876.3915453716,               NaN,     -1.5785375241,******************
   1887.6890848016,               NaN,     -1.5786718899,               NaN
   1898.9866242315,               NaN,     -1.5788062557,******************
   1910.2841636615,               NaN,     -1.5789406216,               NaN
   1921.5817030914,               NaN,     -1.5790749874,******************
   1932.8792425214,               NaN,     -1.5792093533,               NaN
   1944.1767819513,               NaN,     -1.5793437192,******************
   1955.4743213813,               NaN,     -1.5794780851,               NaN
   1966.7718608112,               NaN,     -1.5796124511,******************
   1978.0694002412,               NaN,     -1.5797468170,               NaN
   1989.3669396711,               NaN,     -1.5798811830,******************
   2000.6644791011,               NaN,     -1.5800155490,               NaN
   2011.9620185310,               NaN,     -1.5801499150,******************
   2023.2595579610,               NaN,     -1.5802842810,               NaN
   2034.5570973909,               NaN,     -1.5804186470,******************
