C, utils, Evtpo, value
   5853.1254247139,               NaN,     -1.6299599460,******************
   5864.4229641438,               NaN,     -1.6301162544,               NaN
   5875.7205035738,               NaN,     -1.6302725629,******************
   5887.0180430037,               NaN,     -1.6304288714,               NaN
   5898.3155824337,               NaN,     -1.6305851799,******************
   5909.6131218636,               NaN,     -1.6307414885,               NaN
   5920.9106612936,               NaN,     -1.6308977970,******************
   5932.2082007235,               NaN,     -1.6310541056,               NaN
   5943.5057401535,               NaN,     -1.6312104142,******************
   5954.8032795834,               NaN,     -1.6313667228,               NaN
   5966.1008190134,               NaN,     -1.6315230314,******************
   5977.3983584433,               NaN,     -1.6316793401,               NaN
   5988.6958978733,               NaN,     -1.6318356487,******************
   5999.9934373032,               NaN,     -1.6319919574,               NaN
   6011.2909767332,               NaN,     -1.6321482661,******************
   6022.5885161631,               NaN,     -1.6323045748,               NaN
   6033.8860555931,               NaN,     -1.6324608836,******************
   6045.1835950230,               NaN,     -1.6326171923,               NaN
   6056.4811344530,               NaN,     -1.6327735011,******************
   6067.7786738829,               NaN,     -1.6329298099,               NaN
   6079.0762133129,               NaN,     -1.6330861187,******************
   6090.3737527428,               NaN,     -1.6332424275,               NaN
   6101.6712921728,               NaN,     -1.6333987364,******************
   6112.9688316027,               NaN,     -1.6335550453,               NaN
   6124.2663710327,               NaN,     -1.6337113542,******************
   6135.5639104626,               NaN,     -1.6338676631,               NaN
   6146.8614498926,               NaN,     -1.6340239720,******************
   6158.1589893225,               NaN,     -1.6341802810,               NaN
   6169.4565287525,               NaN,     -1.6343365899,******************
   6180.7540681824,               NaN,     -1.6344928989,               NaN
   6192.0516076124,               NaN,     -1.6346492079,******************
   6203.3491470423,               NaN,     -1.6348055169,               NaN
   6214.6466864723,               NaN,     -1.6349618260,******************
   6225.9442259022,               NaN,     -1.6351181350,               NaN
   6237.2417653322,               NaN,     -1.6352744441,******************
   6248.5393047621,               NaN,     -1.6354307532,               NaN
   6259.8368441921,               NaN,     -1.6355870623,******************
   6271.1343836220,               NaN,     -1.6357433715,               NaN
   6282.4319230520,               NaN,     -1.6358996806,******************
   6293.7294624819,               NaN,     -1.6360559898,               NaN
   6305.0270019119,               NaN,     -1.6362122990,******************
   6316.3245413418,               NaN,     -1.6363686082,               NaN
   6327.6220807718,               NaN,     -1.6365249175,******************
   6338.9196202017,               NaN,     -1.6366812267,               NaN
   6350.2171596317,               NaN,     -1.6368375360,******************
   6361.5146990616,               NaN,     -1.6369938453,               NaN
   6372.8122384916,               NaN,     -1.6371501546,******************
   6384.1097779215,               NaN,     -1.6373064639,               NaN
   6395.4073173515,               NaN,     -1.6374627733,******************
   6406.7048567814,               NaN,     -1.6376190826,               NaN
   6418.0023962114,               NaN,     -1.6377753920,******************
   6429.2999356413,               NaN,     -1.6379317014,               NaN
   6440.5974750713,               NaN,     -1.6380880108,******************
   6451.8950145012,               NaN,     -1.6382443203,               NaN
   6463.1925539312,               NaN,     -1.6384006297,******************
   6474.4900933611,               NaN,     -1.6385569392,               NaN
   6485.7876327911,               NaN,     -1.6387132487,******************
   6497.0851722210,               NaN,     -1.6388695582,               NaN
   6508.3827116510,               NaN,     -1.6390258678,******************
   6519.6802510809,               NaN,     -1.6391821773,               NaN
   6530.9777905109,               NaN,     -1.6393384869,******************
   6542.2753299408,               NaN,     -1.6394947965,               NaN
   6553.5728693708,               NaN,     -1.6396511061,******************
   6564.8704088007,               NaN,     -1.6398074157,               NaN
   6576.1679482307,               NaN,     -1.6399637254,******************
   6587.4654876606,               NaN,     -1.6401200350,               NaN
   6598.7630270906,               NaN,     -1.6402763447,******************
   6610.0605665205,               NaN,     -1.6404326544,               NaN
   6621.3581059505,               NaN,     -1.6405889642,******************
   6632.6556453804,               NaN,     -1.6407452739,               NaN
   6643.9531848103,               NaN,     -1.6409015837,******************
   6655.2507242403,               NaN,     -1.6410578935,               NaN
   6666.5482636702,               NaN,     -1.6412142033,******************
   6677.8458031002,               NaN,     -1.6413705131,               NaN
   6689.1433425301,               NaN,     -1.6415268229,******************
   6700.4408819601,               NaN,     -1.6416831328,               NaN
   6711.7384213900,               NaN,     -1.6418394427,******************
   6723.0359608200,               NaN,     -1.6419957526,               NaN
   6734.3335002499,               NaN,     -1.6421520625,******************
   6745.6310396799,               NaN,     -1.6423083724,               NaN
   6756.9285791098,               NaN,     -1.6424646824,******************
   6768.2261185398,               NaN,     -1.6426209923,               NaN
   6779.5236579697,               NaN,     -1.6427773023,******************
   6790.8211973997,               NaN,     -1.6429336123,               NaN
   6802.1187368296,               NaN,     -1.6430899224,******************
   6813.4162762596,               NaN,     -1.6432462324,               NaN
   6824.7138156895,               NaN,     -1.6434025425,******************
   6836.0113551195,               NaN,     -1.6435588526,               NaN
   6847.3088945494,               NaN,     -1.6437151627,******************
   6858.6064339794,               NaN,     -1.6438714728,               NaN
   6869.9039734093,               NaN,     -1.6440277830,******************
   6881.2015128393,               NaN,     -1.6441840931,               NaN
   6892.4990522692,               NaN,     -1.6443404033,******************
   6903.7965916992,               NaN,     -1.6444967135,               NaN
   6915.0941311291,               NaN,     -1.6446530237,******************
   6926.3916705591,               NaN,     -1.6448093340,               NaN
   6937.6892099890,               NaN,     -1.6449656442,******************
   6948.9867494190,               NaN,     -1.6451219545,               NaN
   6960.2842888489,               NaN,     -1.6452782648,******************
   6971.5818282789,               NaN,     -1.6454345751,               NaN
   6982.8793677088,               NaN,     -1.6455908854,******************
   6994.1769071388,               NaN,     -1.6457471958,               NaN
   7005.4744465687,               NaN,     -1.6459035062,******************
   7016.7719859987,               NaN,     -1.6460598166,               NaN
   7028.0695254286,               NaN,     -1.6462161270,******************
   7039.3670648586,               NaN,     -1.6463724374,               NaN
   7050.6646042885,               NaN,     -1.6465287479,******************
   7061.9621437185,               NaN,     -1.6466850583,               NaN
   7073.2596831484,               NaN,     -1.6468413688,******************
   7084.5572225784,               NaN,     -1.6469976793,               NaN
   7095.8547620083,               NaN,     -1.6471539898,******************
   7107.1523014383,               NaN,     -1.6473103004,               NaN
   7118.4498408682,               NaN,     -1.6474666109,******************
   7129.7473802982,               NaN,     -1.6476229215,               NaN
   7141.0449197281,               NaN,     -1.6477792321,******************
   7152.3424591581,               NaN,     -1.6479355428,               NaN
   7163.6399985880,               NaN,     -1.6480918534,******************
   7174.9375380180,               NaN,     -1.6482481641,               NaN
   7186.2350774479,               NaN,     -1.6484044747,******************
   7197.5326168779,               NaN,     -1.6485607854,               NaN
   7208.8301563078,               NaN,     -1.6487170961,******************
   7220.1276957378,               NaN,     -1.6488734069,               NaN
   7231.4252351677,               NaN,     -1.6490297176,******************
   7242.7227745977,               NaN,     -1.6491860284,               NaN
   7254.0203140276,               NaN,     -1.6493423392,******************
   7265.3178534576,               NaN,     -1.6494986500,               NaN
   7276.6153928875,               NaN,     -1.6496549608,******************
   7287.9129323175,               NaN,     -1.6498112717,               NaN
   7299.2104717474,               NaN,     -1.6499675826,******************
   7310.5080111774,               NaN,     -1.6501238934,               NaN
   7321.8055506073,               NaN,     -1.6502802043,******************
   7333.1030900373,               NaN,     -1.6504365153,               NaN
   7344.4006294672,               NaN,     -1.6505928262,******************
   7355.6981688972,               NaN,     -1.6507491372,               NaN
   7366.9957083271,               NaN,     -1.6509054482,******************
   7378.2932477571,               NaN,     -1.6510617592,               NaN
   7389.5907871870,               NaN,     -1.6512180702,******************
   7400.8883266170,               NaN,     -1.6513743812,               NaN
   7412.1858660469,               NaN,     -1.6515306923,******************
   7423.4834054769,               NaN,     -1.6516870034,               NaN
   7434.7809449068,               NaN,     -1.6518433145,******************
   7446.0784843368,               NaN,     -1.6519996256,               NaN
   7457.3760237667,               NaN,     -1.6521559367,******************
   7468.6735631967,               NaN,     -1.6523122479,               NaN
   7479.9711026266,               NaN,     -1.6524685590,******************
   7491.2686420566,               NaN,     -1.6526248702,               NaN
   7502.5661814865,               NaN,     -1.6527811814,******************
   7513.8637209165,               NaN,     -1.6529374927,               NaN
   7525.1612603464,               NaN,     -1.6530938039,******************
   7536.4587997764,               NaN,     -1.6532501152,               NaN
   7547.7563392063,               NaN,     -1.6534064265,******************
   7559.0538786363,               NaN,     -1.6535627378,               NaN
   7570.3514180662,               NaN,     -1.6537190491,******************
   7581.6489574962,               NaN,     -1.6538753605,               NaN
   7592.9464969261,               NaN,     -1.6540316718,******************
   7604.2440363561,               NaN,     -1.6541879832,               NaN
   7615.5415757860,               NaN,     -1.6543442946,******************
   7626.8391152160,               NaN,     -1.6545006060,               NaN
   7638.1366546459,               NaN,     -1.6546569175,******************
   7649.4341940759,               NaN,     -1.6548132289,               NaN
   7660.7317335058,               NaN,     -1.6549695404,******************
   7672.0292729358,               NaN,     -1.6551258519,               NaN
   7683.3268123657,               NaN,     -1.6552821634,******************
   7694.6243517957,               NaN,     -1.6554384750,               NaN
   7705.9218912256,               NaN,     -1.6555947865,******************
   7717.2194306556,               NaN,     -1.6557510981,               NaN
   7728.5169700855,               NaN,     -1.6559074097,******************
   7739.8145095155,               NaN,     -1.6560637213,               NaN
   7751.1120489454,               NaN,     -1.6562200329,******************
   7762.4095883754,               NaN,     -1.6563763446,               NaN
   7773.7071278053,               NaN,     -1.6565326563,******************
   7785.0046672353,               NaN,     -1.6566889680,               NaN
   7796.3022066652,               NaN,     -1.6568452797,******************
   7807.5997460952,               NaN,     -1.6570015914,               NaN
   7818.8972855251,               NaN,     -1.6571579031,******************
   7830.1948249551,               NaN,     -1.6573142149,               NaN
   7841.4923643850,               NaN,     -1.6574705267,******************
   7852.7899038150,               NaN,     -1.6576268385,               NaN
   7864.0874432449,               NaN,     -1.6577831503,******************
   7875.3849826749,               NaN,     -1.6579394622,               NaN
   7886.6825221048,               NaN,     -1.6580957740,******************
   7897.9800615348,               NaN,     -1.6582520859,               NaN
   7909.2776009647,               NaN,     -1.6584083978,******************
   7920.5751403947,               NaN,     -1.6585647097,               NaN
   7931.8726798246,               NaN,     -1.6587210217,******************
   7943.1702192546,               NaN,     -1.6588773336,               NaN
   7954.4677586845,               NaN,     -1.6590336456,******************
   7965.7652981144,               NaN,     -1.6591899576,               NaN
   7977.0628375444,               NaN,     -1.6593462696,******************
   7988.3603769743,               NaN,     -1.6595025816,               NaN
   7999.6579164043,               NaN,     -1.6596588937,******************
   8010.9554558342,               NaN,     -1.6598152058,               NaN
   8022.2529952642,               NaN,     -1.6599715179,******************
   8033.5505346941,               NaN,     -1.6601278300,               NaN
   8044.8480741241,               NaN,     -1.6602841421,******************
   8056.1456135540,               NaN,     -1.6604404542,               NaN
   8067.4431529840,               NaN,     -1.6605967664,******************
   8078.7406924139,               NaN,     -1.6607530786,               NaN
   8090.0382318439,               NaN,     -1.6609093908,******************
   8101.3357712738,               NaN,     -1.6610657030,               NaN
   8112.6333107038,               NaN,     -1.6612220153,******************
   8123.9308501337,               NaN,     -1.6613783275,               NaN
   8135.2283895637,               NaN,     -1.6615346398,******************
   8146.5259289936,               NaN,     -1.6616909521,               NaN
   8157.8234684236,               NaN,     -1.6618472645,******************
   8169.1210078535,               NaN,     -1.6620035768,               NaN
   8180.4185472835,               NaN,     -1.6621598892,******************
   8191.7160867134,               NaN,     -1.6623162015,               NaN
   8203.0136261434,               NaN,     -1.6624725139,******************
   8214.3111655733,               NaN,     -1.6626288263,               NaN
   8225.6087050033,               NaN,     -1.6627851388,******************
   8236.9062444332,               NaN,     -1.6629414512,               NaN
   8248.2037838632,               NaN,     -1.6630977637,******************
   8259.5013232931,               NaN,     -1.6632540762,               NaN
   8270.7988627231,               NaN,     -1.6634103887,******************
   8282.0964021530,               NaN,     -1.6635667013,               NaN
   8293.3939415830,               NaN,     -1.6637230138,******************
   8304.6914810129,               NaN,     -1.6638793264,               NaN
   8315.9890204429,               NaN,     -1.6640356390,******************
   8327.2865598728,               NaN,     -1.6641919516,               NaN
   8338.5840993028,               NaN,     -1.6643482642,******************
   8349.8816387327,               NaN,     -1.6645045769,               NaN
   8361.1791781627,               NaN,     -1.6646608895,******************
   8372.4767175926,               NaN,     -1.6648172022,               NaN
   8383.7742570226,               NaN,     -1.6649735149,******************
   8395.0717964525,               NaN,     -1.6651298276,               NaN
   8406.3693358825,               NaN,     -1.6652861404,******************
   8417.6668753124,               NaN,     -1.6654424531,               NaN
   8428.9644147424,               NaN,     -1.6655987659,******************
   8440.2619541723,               NaN,     -1.6657550787,               NaN
   8451.5594936023,               NaN,     -1.6659113915,******************
   8462.8570330322,               NaN,     -1.6660677044,               NaN
   8474.1545724622,               NaN,     -1.6662240172,******************
   8485.4521118921,               NaN,     -1.6663803301,               NaN
   8496.7496513221,               NaN,     -1.6665366430,******************
   8508.0471907520,               NaN,     -1.6666929559,               NaN
   8519.3447301820,               NaN,     -1.6668492689,******************
   8530.6422696119,               NaN,     -1.6670055818,               NaN
   8541.9398090419,               NaN,     -1.6671618948,******************
   8553.2373484718,               NaN,     -1.6673182078,               NaN
   8564.5348879018,               NaN,     -1.6674745208,******************
   8575.8324273317,               NaN,     -1.6676308338,               NaN
   8587.1299667617,               NaN,     -1.6677871469,******************
   8598.4275061916,               NaN,     -1.6679434600,               NaN
   8609.7250456216,               NaN,     -1.6680997731,******************
   8621.0225850515,               NaN,     -1.6682560862,               NaN
   8632.3201244815,               NaN,     -1.6684123993,******************
   8643.6176639114,               NaN,     -1.6685687124,               NaN
   8654.9152033414,               NaN,     -1.6687250256,******************
   8666.2127427713,               NaN,     -1.6688813388,               NaN
   8677.5102822013,               NaN,     -1.6690376520,******************
   8688.8078216312,               NaN,     -1.6691939652,               NaN
   8700.1053610612,               NaN,     -1.6693502785,******************
   8711.4029004911,               NaN,     -1.6695065917,               NaN
   8722.7004399211,               NaN,     -1.6696629050,******************
   8733.9979793510,               NaN,     -1.6698192183,               NaN
   8745.2955187810,               NaN,     -1.6699755316,******************
   8756.5930582109,               NaN,     -1.6701318450,               NaN
   8767.8905976409,               NaN,     -1.6702881583,******************
   8779.1881370708,               NaN,     -1.6704444717,               NaN
   8790.4856765008,               NaN,     -1.6706007851,******************
   8801.7832159307,               NaN,     -1.6707570985,               NaN
   8813.0807553607,               NaN,     -1.6709134120,******************
   8824.3782947906,               NaN,     -1.6710697254,               NaN
   8835.6758342206,               NaN,     -1.6712260389,******************
   8846.9733736505,               NaN,     -1.6713823524,               NaN
   8858.2709130805,               NaN,     -1.6715386659,******************
   8869.5684525104,               NaN,     -1.6716949794,               NaN
   8880.8659919404,               NaN,     -1.6718512930,******************
   8892.1635313703,               NaN,     -1.6720076065,               NaN
   8903.4610708003,               NaN,     -1.6721639201,******************
   8914.7586102302,               NaN,     -1.6723202337,               NaN
   8926.0561496602,               NaN,     -1.6724765474,******************
   8937.3536890901,               NaN,     -1.6726328610,               NaN
   8948.6512285201,               NaN,     -1.6727891747,******************
   8959.9487679500,               NaN,     -1.6729454884,               NaN
   8971.2463073800,               NaN,     -1.6731018021,******************
   8982.5438468099,               NaN,     -1.6732581158,               NaN
   8993.8413862399,               NaN,     -1.6734144296,******************
   9005.1389256698,               NaN,     -1.6735707433,               NaN
   9016.4364650998,               NaN,     -1.6737270571,******************
   9027.7340045297,               NaN,     -1.6738833709,               NaN
   9039.0315439597,               NaN,     -1.6740396847,******************
   9050.3290833896,               NaN,     -1.6741959986,               NaN
   9061.6266228196,               NaN,     -1.6743523124,******************
   9072.9241622495,               NaN,     -1.6745086263,               NaN
   9084.2217016795,               NaN,     -1.6746649402,******************
   9095.5192411094,               NaN,     -1.6748212541,               NaN
   9106.8167805394,               NaN,     -1.6749775681,******************
   9118.1143199693,               NaN,     -1.6751338820,               NaN
   9129.4118593993,               NaN,     -1.6752901960,******************
   9140.7093988292,               NaN,     -1.6754465100,               NaN
   9152.0069382592,               NaN,     -1.6756028240,******************
   9163.3044776891,               NaN,     -1.6757591380,               NaN
   9174.6020171191,               NaN,     -1.6759154521,******************
   9185.8995565490,               NaN,     -1.6760717661,               NaN
   9197.1970959790,               NaN,     -1.6762280802,******************
   9208.4946354089,               NaN,     -1.6763843944,               NaN
   9219.7921748389,               NaN,     -1.6765407085,******************
   9231.0897142688,               NaN,     -1.6766970226,               NaN
   9242.3872536988,               NaN,     -1.6768533368,******************
   9253.6847931287,               NaN,     -1.6770096510,               NaN
   9264.9823325587,               NaN,     -1.6771659652,******************
   9276.2798719886,               NaN,     -1.6773222794,               NaN
   9287.5774114185,               NaN,     -1.6774785937,******************
   9298.8749508485,               NaN,     -1.6776349079,               NaN
   9310.1724902784,               NaN,     -1.6777912222,******************
   9321.4700297084,               NaN,     -1.6779475365,               NaN
   9332.7675691383,               NaN,     -1.6781038508,******************
   9344.0651085683,               NaN,     -1.6782601652,               NaN
   9355.3626479982,               NaN,     -1.6784164795,******************
   9366.6601874282,               NaN,     -1.6785727939,               NaN
   9377.9577268581,               NaN,     -1.6787291083,******************
   9389.2552662881,               NaN,     -1.6788854227,               NaN
   9400.5528057180,               NaN,     -1.6790417372,******************
   9411.8503451480,               NaN,     -1.6791980516,               NaN
   9423.1478845779,               NaN,     -1.6793543661,******************
   9434.4454240079,               NaN,     -1.6795106806,               NaN
   9445.7429634378,               NaN,     -1.6796669951,******************
   9457.0405028678,               NaN,     -1.6798233097,               NaN
   9468.3380422977,               NaN,     -1.6799796242,******************
   9479.6355817277,               NaN,     -1.6801359388,               NaN
   9490.9331211576,               NaN,     -1.6802922534,******************
   9502.2306605876,               NaN,     -1.6804485680,               NaN
   9513.5282000175,               NaN,     -1.6806048826,******************
   9524.8257394475,               NaN,     -1.6807611973,               NaN
   9536.1232788774,               NaN,     -1.6809175120,******************
   9547.4208183074,               NaN,     -1.6810738266,               NaN
   9558.7183577373,               NaN,     -1.6812301414,******************
   9570.0158971673,               NaN,     -1.6813864561,               NaN
   9581.3134365972,               NaN,     -1.6815427708,******************
   9592.6109760272,               NaN,     -1.6816990856,               NaN
   9603.9085154571,               NaN,     -1.6818554004,******************
   9615.2060548871,               NaN,     -1.6820117152,               NaN
   9626.5035943170,               NaN,     -1.6821680300,******************
   9637.8011337470,               NaN,     -1.6823243449,               NaN
   9649.0986731769,               NaN,     -1.6824806597,******************
   9660.3962126069,               NaN,     -1.6826369746,               NaN
   9671.6937520368,               NaN,     -1.6827932895,******************
   9682.9912914668,               NaN,     -1.6829496044,               NaN
   9694.2888308967,               NaN,     -1.6831059194,******************
   9705.5863703267,               NaN,     -1.6832622343,               NaN
   9716.8839097566,               NaN,     -1.6834185493,******************
   9728.1814491866,               NaN,     -1.6835748643,               NaN
   9739.4789886165,               NaN,     -1.6837311793,******************
   9750.7765280465,               NaN,     -1.6838874944,               NaN
   9762.0740674764,               NaN,     -1.6840438094,******************
   9773.3716069064,               NaN,     -1.6842001245,               NaN
   9784.6691463363,               NaN,     -1.6843564396,******************
   9795.9666857663,               NaN,     -1.6845127547,               NaN
   9807.2642251962,               NaN,     -1.6846690698,******************
   9818.5617646262,               NaN,     -1.6848253850,               NaN
   9829.8593040561,               NaN,     -1.6849817002,******************
   9841.1568434861,               NaN,     -1.6851380154,               NaN
   9852.4543829160,               NaN,     -1.6852943306,******************
   9863.7519223460,               NaN,     -1.6854506458,               NaN
   9875.0494617759,               NaN,     -1.6856069611,******************
   9886.3470012059,               NaN,     -1.6857632763,               NaN
   9897.6445406358,               NaN,     -1.6859195916,******************
   9908.9420800658,               NaN,     -1.6860759069,               NaN
   9920.2396194957,               NaN,     -1.6862322223,******************
   9931.5371589257,               NaN,     -1.6863885376,               NaN
   9942.8346983556,               NaN,     -1.6865448530,******************
   9954.1322377856,               NaN,     -1.6867011684,               NaN
   9965.4297772155,               NaN,     -1.6868574838,******************
   9976.7273166455,               NaN,     -1.6870137992,               NaN
   9988.0248560754,               NaN,     -1.6871701146,******************
   9999.3223955054,               NaN,     -1.6873264301,               NaN
  10010.6199349353,               NaN,     -1.6874827456,******************
  10021.9174743653,               NaN,     -1.6876390611,               NaN
  10033.2150137952,               NaN,     -1.6877953766,******************
  10044.5125532252,               NaN,     -1.6879516922,               NaN
  10055.8100926551,               NaN,     -1.6881080077,******************
  10067.1076320851,               NaN,     -1.6882643233,               NaN
  10078.4051715150,               NaN,     -1.6884206389,******************
  10089.7027109450,               NaN,     -1.6885769545,               NaN
  10101.0002503749,               NaN,     -1.6887332702,******************
  10112.2977898049,               NaN,     -1.6888895858,               NaN
  10123.5953292348,               NaN,     -1.6890459015,******************
  10134.8928686648,               NaN,     -1.6892022172,               NaN
  10146.1904080947,               NaN,     -1.6893585329,******************
  10157.4879475247,               NaN,     -1.6895148486,               NaN
